longitude,latitude,dem_epsg4326,slope_epsg4326,aspect_epsg4326,twi_epsg4326,ndvi_epsg4326,landcover_epsg4326,rainfall_epsg4326,landslide_label
85.57087468051867,27.942141007572353,1780.0,24.733867645263672,263.9486389160156,15.257635542795121,0.8083223104476929,10.0,22415.598482248788,0
85.8206961610323,28.160162127028162,5308.0,37.48011779785156,100.9529800415039,15.749663440631965,-0.05188626050949097,70.0,13868.116603444518,1
85.95544345365023,27.889320068866127,2827.0,30.33664321899414,165.50050354003906,15.387617547834761,0.6921339631080627,10.0,18049.29107158159,0
85.7778465219798,27.84997385942169,1385.0,24.09320068359375,244.25308227539062,14.944000558800925,0.570629358291626,30.0,24599.621594052333,0
85.85114904916395,28.127283787629388,5336.0,40.22289276123047,266.708251953125,15.478190731402151,-0.06461483240127563,60.0,14240.54982292121,1
85.50323153962447,27.955076747663675,2539.0,21.553722381591797,232.06735229492188,15.890887473946789,0.8132216930389404,10.0,20623.062821231848,0
85.61588027625305,27.787990104817442,1574.0,23.682218551635742,175.21380615234375,15.138092167654213,0.7057608366012573,10.0,18047.32410144436,0
85.56871872383678,28.003046783835657,3159.0,10.556924819946289,162.83456420898438,15.715907529275329,0.8297099471092224,10.0,20217.81444579784,0
85.7123593377675,28.070420430144623,4175.0,20.34678840637207,127.6707534790039,16.538440163580905,0.3426480293273926,100.0,17494.8246253039,0
85.568988218422,27.76939497843617,1113.0,34.54300308227539,23.493494033813477,14.288889849559641,0.7085234522819519,10.0,18787.972547238012,0
85.73850031253536,27.98337367911344,3587.0,52.58805847167969,54.41246032714844,14.611943493700563,0.5989878177642822,10.0,18101.32697802902,0
85.60051908489461,27.87018595331438,879.0,11.530921936035156,279.1310119628906,15.900283594920962,0.15659277141094208,40.0,18900.35713325748,0
85.63663135931621,27.997387397545705,2431.0,26.332441329956055,117.25139617919922,15.102504530519225,0.7317975759506226,10.0,18813.665082381773,0
85.62396511381013,28.05883216297948,3249.0,46.86653518676758,166.07785034179688,14.978950080562079,0.6007407307624817,10.0,17858.61665722059,0
85.69834561933523,28.03080472611495,3624.0,43.31235122680664,116.51527404785156,15.153477472213448,0.6816421151161194,10.0,19798.672485718973,0
85.73607486126825,28.14129750606165,4510.0,9.253068923950195,186.47003173828125,17.81127098373833,0.01809210516512394,70.0,15858.572602471275,0
85.72718153995547,27.678575303211687,810.0,26.22386360168457,148.69866943359375,14.310216795399597,0.7629351019859314,10.0,16202.256471999215,0
85.61183785747451,27.78825959940268,1536.0,22.151887893676758,203.86041259765625,15.058701168289982,0.24874474108219147,30.0,18047.32410144436,0
85.87998496978419,28.049669347081462,4332.0,30.774770736694336,17.93889045715332,15.794619384093844,0.28187382221221924,100.0,18311.409087042768,0
85.55254904872263,28.131865195578396,4609.0,48.16335678100586,221.097412109375,14.682927625501248,0.036421578377485275,70.0,16092.782034204418,1
85.74227323672866,27.840541548938436,1766.0,10.992984771728516,-0.0,16.01821027596121,0.675762414932251,30.0,19976.45519553397,0
85.84144724409546,27.688007613694943,2077.0,25.73822021484375,193.15133666992188,15.274585982839124,0.46998724341392517,30.0,20340.365120374307,0
85.92984146805283,27.80901068246584,1748.0,32.30595779418945,346.6118469238281,14.84545471706096,0.74945467710495,10.0,21109.633087527036,0
85.7282595182964,28.03538613406396,3999.0,31.764516830444336,42.94218063354492,15.669775469364492,0.5121819376945496,30.0,19395.49381763441,0
85.59782413904225,27.91761700031589,2283.0,17.08388328552246,50.79753494262695,15.823157092170197,0.8505584001541138,10.0,22415.598482248788,0
85.95894688325829,27.903872776468862,2567.0,39.73257064819336,295.3702392578125,14.941354965113964,0.7263033390045166,10.0,17105.392115362687,0
85.6131853304007,28.049399852496226,3504.0,42.740535736083984,277.0435485839844,15.211912377823927,0.5340622663497925,10.0,19790.332728949612,0
85.84737612497065,27.95399876932273,3218.0,40.328433990478516,187.442138671875,15.190949845032248,0.355996698141098,30.0,18266.063319015193,0
85.55632197291592,27.975827830726836,2140.0,33.53395462036133,17.711944580078125,14.9758555753659,0.802962064743042,10.0,19878.341637347577,0
85.79266872416777,27.984451657454382,1836.0,44.929710388183594,37.33063507080078,14.55842110962434,0.7696338891983032,10.0,19149.538306664257,0
85.77057016817844,27.770203462191876,921.0,32.819252014160156,216.56329345703125,14.298778590062236,0.8026227951049805,10.0,22628.7047797821,0
85.76410229813277,27.738672595719283,1288.0,24.320302963256836,153.56658935546875,14.913159964356025,0.4652591645717621,30.0,19722.23256260903,0
85.645524680629,27.887164112184237,1537.0,20.97756004333496,346.18218994140625,15.295518529716627,0.36911511421203613,30.0,18900.35713325748,0
85.81530626932759,27.87207241541103,2079.0,21.34794044494629,242.89724731445312,15.644476702720977,0.827389657497406,10.0,24116.51300028926,0
85.92418208176286,27.982565195357733,3721.0,38.25199890136719,91.176513671875,15.346562253175211,0.31511253118515015,30.0,16345.73903789627,0
85.60914291162216,27.952651296396553,2469.0,20.421241760253906,180.0,15.703278586795948,0.8316312432289124,10.0,18813.665082381773,0
85.50026709918687,27.993344978767166,2932.0,38.75592803955078,194.54905700683594,15.109361637390633,0.3591308295726776,30.0,20623.062821231848,0
85.69942359767617,28.151538300300615,5198.0,24.44269561767578,230.12811279296875,16.252088158432286,-0.10283344238996506,70.0,14333.85213919973,0
85.52667756853998,27.825449852165228,1735.0,17.37238311767578,95.93990325927734,15.524111282184174,0.36883243918418884,30.0,20381.893599880583,0
85.93172793014948,27.887433606769473,2044.0,22.901166915893555,299.8780212402344,15.436823022943248,0.6699880361557007,10.0,19576.12468741747,0
85.53772684653465,28.031074220700187,2586.0,19.38240623474121,262.0656433105469,15.399253790355864,0.7106778025627136,10.0,19839.29608027602,0
85.70562197313659,27.802812307005414,1684.0,10.14865493774414,5.867881774902344,16.048293554902642,0.6672317981719971,10.0,19976.45519553397,0
85.73122395873399,28.045357433717687,3910.0,35.96779251098633,156.14663696289062,15.442777833431997,0.6004384756088257,10.0,19395.49381763441,0
85.48733135909555,27.795805447789284,1825.0,28.866146087646484,56.086769104003906,15.034217948199375,0.4430232644081116,30.0,18936.6502899654,0
85.7102033810856,27.98526014121009,3339.0,30.738744735717773,40.34162902832031,15.53942940069936,0.7306578755378723,10.0,18101.32697802902,0
85.50080608835734,27.821137938801453,1239.0,29.97490882873535,147.35113525390625,14.254794836156822,0.6006595492362976,10.0,20381.893599880583,0
85.64121276726522,28.13617710894217,4939.0,25.494075775146484,74.24173736572266,16.117606750519418,-0.08308671414852142,70.0,15794.850531972028,0
85.63986529433905,28.001160321739007,2265.0,9.510031700134277,118.8914566040039,15.261436483894732,0.640620231628418,30.0,19790.332728949612,0
85.72906800205212,28.02568432899547,3982.0,43.676048278808594,267.0846252441406,15.44272465863559,0.38094204664230347,60.0,19395.49381763441,0
85.61588027625305,27.749721873713952,855.0,18.158164978027344,217.8416748046875,14.780242832850881,0.6263107657432556,10.0,16370.33101649801,0
85.81126385054905,28.068803462633205,4572.0,29.483610153198242,256.759033203125,15.78906522969657,-0.05679253488779068,100.0,17549.190248738814,1
85.56575428339919,27.95022584512943,2017.0,25.110271453857422,249.7931365966797,15.276015968656406,0.7089135050773621,10.0,19878.341637347577,0
85.74954959053004,27.705255267150037,894.0,32.7972412109375,158.35435485839844,14.339759735631477,0.3980615437030792,30.0,17357.685167419957,0
85.81665374225376,27.726006350213197,1152.0,39.22954177856445,35.61790466308594,14.232434946880145,0.7433024644851685,10.0,24034.136918903838,0
85.75359200930858,27.816556530852445,1093.0,23.747106552124023,16.93058204650879,14.72584775150131,0.6498042345046997,30.0,24599.621594052333,0
85.82312161229943,27.998734870471882,2411.0,45.574764251708984,165.42950439453125,14.707415635547461,0.33201584219932556,30.0,18266.063319015193,0
85.55174056496692,28.001699310909476,2471.0,15.67287540435791,293.81988525390625,15.86241460344388,0.7943688035011292,10.0,20217.81444579784,0
85.54042179238701,27.818442992949095,1724.0,33.70018005371094,221.197509765625,14.764281144254594,0.5926824808120728,10.0,20381.893599880583,0
85.88887829109697,27.962353101465045,3554.0,30.2476806640625,70.54158782958984,15.617232540350056,0.5500360131263733,10.0,16983.96403562359,0
85.60321403074697,28.14075851689118,4955.0,48.9658088684082,210.74896240234375,15.022553263522576,0.0031628888100385666,70.0,15794.850531972028,1
85.77838551115028,27.803620790761123,1148.0,24.832136154174805,288.3510437011719,14.788986262587482,0.7110298871994019,10.0,24599.621594052333,0
85.53718785736419,27.929205267481034,1825.0,11.729016304016113,159.32968139648438,15.912415059435737,0.3441654443740845,30.0,21541.99112420372,0
85.84009977116928,28.042123498694856,4463.0,34.01333236694336,159.3099365234375,16.090199059467523,0.14985014498233795,100.0,19370.93452298973,1
85.60698695494027,28.065569527610375,3706.0,38.444480895996094,159.71864318847656,15.35653833046359,0.31089019775390625,30.0,17858.61665722059,0
85.80856890469668,27.76939497843617,1206.0,17.364046096801758,95.94294738769531,15.225974129803188,0.8135179281234741,10.0,25688.567841518732,0
86.00907287611217,27.863448588683482,3113.0,42.91884231567383,330.5088195800781,15.017837097551478,0.7654417753219604,10.0,17741.926487385117,0
85.78350590826976,27.942679996742825,1303.0,7.809595108032227,110.737060546875,16.10991097668113,0.15823644399642944,60.0,20132.086763357358,0
85.75062756887098,28.153963751567737,4844.0,9.424610137939453,167.21934509277344,17.000297113279405,-0.0639609545469284,70.0,14809.951071664129,0
85.531258976489,27.924623859532023,1666.0,22.54212760925293,215.01600646972656,15.336378697413492,0.5210559368133545,40.0,21541.99112420372,0
85.89184273153457,28.01706050226792,4191.0,27.514217376708984,71.89400482177734,16.04094416502786,0.32953736186027527,100.0,18311.409087042768,0
85.62288713546918,27.828414292602822,1893.0,20.704143524169922,215.53346252441406,15.238838383506847,0.6512840986251831,10.0,18528.61254948631,0
85.52667756853998,27.95992765019792,2130.0,32.44668197631836,48.546566009521484,14.938755913041811,0.5679967403411865,30.0,20623.062821231848,0
85.88914778568221,27.72843180148032,1351.0,28.70812225341797,290.7745361328125,14.724675529192796,0.7792695760726929,10.0,24495.953332369667,0
85.83686583614646,27.759962667952916,997.0,21.490755081176758,161.02024841308594,14.75227801807877,0.5350903272628784,40.0,25688.567841518732,0
85.67058767705593,27.838116097671314,1608.0,28.53992462158203,149.67506408691406,14.712019020915172,0.6625831127166748,10.0,19127.524941420463,0
85.75143605262669,27.840811043523672,1482.0,17.124692916870117,356.59368896484375,15.397287541710687,0.8110749125480652,10.0,24599.621594052333,0
85.56144237003541,27.794996964033576,919.0,37.4853515625,210.07080078125,13.995502151348486,0.48510944843292236,30.0,18787.972547238012,0
85.60024959030937,27.908993173588343,1650.0,32.143531799316406,191.77499389648438,14.782747477629945,0.8360603451728821,10.0,19089.687746528216,0
85.7425427313139,27.74271501449782,1374.0,19.318065643310547,297.50225830078125,14.848844248690591,0.5878331065177917,10.0,17357.685167419957,0
85.9055869553816,28.010862126807496,3623.0,19.851716995239258,54.34726333618164,16.128041833002065,0.4028339982032776,30.0,17449.002064070184,0
85.7123593377675,27.916000032804476,3558.0,21.000417709350586,294.9417419433594,15.877925494734452,0.38982242345809937,30.0,18659.506418864257,0
85.55012359745551,27.97367187404495,2025.0,31.58558464050293,309.18780517578125,14.96133127434779,0.8067496418952942,10.0,19878.341637347577,0
85.70696944606277,27.73166573650315,1292.0,30.93116569519043,181.7489471435547,14.586262653568886,0.6638379693031311,10.0,17357.685167419957,0
85.81234182889,27.814670068755795,1974.0,36.6424446105957,209.48016357421875,14.921665999164249,0.664202094078064,10.0,28701.98482103795,0
85.61210735205975,28.05505923878618,3649.0,48.79597473144531,218.7821502685547,15.281597424799807,0.3107798099517822,30.0,17858.61665722059,0
85.6883743196815,28.13051772265222,5091.0,46.9112434387207,219.44300842285156,15.220295662267082,0.16826370358467102,60.0,16435.78425063688,1
